,,,
Portfolio,,,
,,,
LCA(전과정평가),현재,,
,연도,과제명,발주처
,2025,탄소나노소재의 전주기 평가를 위한 자료 수집 및 환경성 분석 ,광주과학기술원
,2025,S-OIL 전제품에 대한 LCA 수행 및 LCA 시스템 개발 ,S-OIL㈜
,2025,"KT&G 스틱, 각초, 디바이스, 잎담배에 대한 전과정평가 수행 ",㈜케이티앤지
,2025,OCI 제품 전과정평가 수행 및 Tool 개발 ,OCI 주식회사
,2025,현대OCI 카본블랙 제품 전과정평가 및 Tool 개발 ,HD현대오씨아이㈜
,2025,삼양이노켐 ISB 제품에 대한 LCA 수행 ,삼양이노켐㈜
,2025,켐코 황산니켈 제품에 대한 전과정평가 수행 ,켐코㈜
,2025,SK케미칼  Recycle PET 제품에 대한 LCA 수행 및 소통 방법론 개발 ,SK케미칼㈜
,2025,(4차)전과정목록 전면개편 및 국제 플랫폼 등록_총괄주관사 ,한국환경산업기술원
,2025,대동 제품 전과정평가 컨설팅 및 내부 담당자 교육 ,(주)대동
,2025,HD현대케미칼 LCA Tool 업데이트 컨설팅 ,현대케미칼㈜
,2024,"HD현대케미칼 HDPE, LDPE, EVA, PP에 대한 ISCC인증 및 제3자 검증 ",현대케미칼㈜
,2024,국도화학 제품에 대한 간이 LCA 수행 ,국도화학㈜
,2024,조선내화 내화물 제품에 대한 전과정평가 수행 ,조선내화(주)
,2024,삼성병원 유방암 수술에 대한 LCA 수행 ,삼성서울병원
,2024,국가 LCI DB 전면개편 및 국제 플랫폼 등록 ,한국환경산업기술원
,2024,콜마비앤에이치 헤모힘에 대한 전과정평가 수행 ,콜마비앤에이치 주식회사
,2024,LS일렉트릭 제품 에코디자인 체계 구축 ,엘에스일렉트릭㈜
,2024,국도화학 10개 제품에 대한 전과정평가 수행 및 LCA 내재화 방안 마련 ,국도화학㈜
,2024,SK케미칼 제품 LCA Tool 개발 ,SK케미칼㈜
,2024,현대엔지니어링 P2E 수소 LCA 수행 및 청정수소인증제 대응방안 마련 ,현대엔지니어링㈜
,2023,DL케미칼 PE제품에 대한 Carbon footprint 산정,DL케미칼㈜
,2023,SK온 Battery 제품의 환경전과정평가 수행 및 교육,SK온㈜
,2023,NB-Latex에 대한 환경성평가,금호석유화학㈜
,2023,나이스LMS 폐어망 활용 PA6 생산에 대한 환경성 평가,(주)나이스엘엠에스
,2023,삼성엔지니어링 CO2 포집 기술에 대한 환경성평가,삼성엔지니어링㈜
,2023,현대쉘베이스오일 윤활기유에 대한 전과정평가 수행,HD현대쉘베이스오일㈜
,2023,KT&G NGP 플랫폼에 대한 전과정평가 수행 및 에코디자인 가이드라인 개발,㈜케이티앤지
,2023,LG CNS 탄소발자국 산정 시스템(LG에너지솔루션 대상) 개발 지원,㈜LG CNS
,2023,"LG화학 Scope 3 Upstream 협력회사 탄소발자국 (Product Carbon Footprint, PCF) 관리",㈜LG화학
,2023,OCI 제품 LCA 수행 및 내재화 방안 마련,OCI 주식회사
,2023,금호피앤비화학 LCA 수행 및 내재화 방안 마련,금호피앤비화학㈜
,2023,유한킴벌리10개 제품에 대한 LCA 수행 및 주요사업장 별 LCA Tool 개발,유한킴벌리㈜
,2023,현대오일뱅크 전체 공정 및 제품 전과정평가,HD현대오일뱅크㈜
,2023,"MX, HPC 공정 제품 및 CO-processing에 대한 전과정평가 수행",현대케미칼㈜
,2023,금호석유화학 주요 제품군에 대한 LCA 수행 및 내재화 방안마련,금호석유화학㈜
,2023,DL케미칼 EPO 제품 Carbon Footprint 산정,DL케미칼㈜
,2023,SKMG14 제품에 대한 환경성평가 수행 및 제품관련 국제 동향 분석,SK머티리얼즈 그룹14
,2022,LG화학 폐배터리 재활용 및 전구체에 대한 전과정평가 산정 Tool 개발,㈜LG화학
,2022,삼성SDI 배터리 제품 대한 전과정평가 수행 및 카본트러스트 인증,삼성SDI㈜
,2022,네이버 Clova Clock 3.0 환경성적평가 컨설팅,네이버㈜
,2022,솔코리젠트 Aluminium sulfate 제품에 대한 LG화학 LCA 대응 환경성평가 수행,(주)솔코리젠트
,2022,에코프로 양극재 제품 전과정평가 수행 및 카본트러스트 인증 대응,㈜에코프로
,2022,삼성엔지니어링 암모니아 기반 전력생산 전과정평가 수행,삼성엔지니어링㈜
,2022,아모레퍼시픽 제품에 대한 전과정평가 및 카본트러스트 인증 대응,㈜아모레퍼시픽
,2022,한화솔루션 EVA제품 환경성평가 및 ISCC인증 대응,한화솔루션㈜
,2022,LG이노텍 제품 전과정평가 수행 및 환경부 환경성적표지인증 대응,LG이노텍㈜
,2022,"SK이노베이션 전과정평가 자문 컨설팅_1.4BDO, Aromatic, 윤활유, 열분해유, 기유",SK이노베이션㈜
,2022,리뉴시스템 재활용 DMT 개발 기술에 대한 환경성평가,(주)리뉴시스템
,2022,MCE EPS 분해 기술에 대한 환경성평가,MCE
,2022,나노신소재 CNT 슬러리 제품 환경성평가,㈜나노신소재
,2022,"현대케미칼 제품(PP, HDPE, LDPE, EVA) 환경성평가 및 수행체계구축 사전연구",현대케미칼㈜
,2022,삼성웰스토리 식음서비스 탄소발자국 산정 방안마련 연구,삼성웰스토리㈜
,2022~2025,Recycled PET를 통한 폴리에스터 생산의 환경성 평가,코오롱인더스트리㈜
,2022~2024,공정배가스 연계 CO2 활용 합성가스 생산에 대한 환경성평가,고등기술연구원
,2021,유한킴벌리 제품 환경성 평가,유한킴벌리㈜
,2021,KT&G 제품친환경 관리 체계 구축,㈜케이티앤지
,2021,아모레퍼시픽 협력사 원료 LCI DB 구축 및 친환경 기술에 대한 LCA Tool 개발,㈜아모레퍼시픽
,2021,코오롱바스프이노폼 POM 제품 전과정평가 수행 및 ISCC 인증 대응,코오롱바스프이노폼㈜
,2021,코오롱플라스틱 POM 제품 전과정평가 수행 및 ISCC 인증 대응,코오롱플라스틱㈜
,2021,LG화학 PO제품 등 22개 제품 전과정평가 수행,㈜LG화학
,2021,SK매직 올클린공기청정기 제품 환경성평가 컨설팅,SK매직㈜
,2021,LG생활건강 제품에 대한 LG화학 LCA 대응 환경성평가 수행 컨설팅,㈜LG생활건강
,2021,"SK이노베이션 전과정평가 수행 지원 컨설팅_아스팔트, 배터리, SRF",SK이노베이션㈜
,2021,삼성 SDI xEV 배터리 제품 전과정평가 수행체계 고도화,삼성SDI㈜
,2021,삼양식품 제품 전과정평가 수행 및 환경성적표지인증,삼양식품㈜
,2021,해양생산 수소 공급체인 대상 전과정평가 수행 및 SimaPro S/W 교육,선박해양플랜트연구소
,2020,미쓰이케미칼앤드에스케이씨폴리우레탄주식회사 건설 자재 제품 환경영향 산정,MCNS
,2020,삼성전자 리모컨에 대한 친환경 설계 지원,삼성전자㈜
,2020,"LG화학 제품 전과정평가 수행_TPEE, PC",㈜LG화학
,2020,SK이노베이션 LCA 소프트웨어 가비 활용 체계 구축,SK이노베이션㈜
,2020,SK이노베이션 전과정평가 수행 지원,SK이노베이션㈜
,2019,송원산업 제품 전과정평가 체계 구축,송원산업
,2019,유한킴벌리 제품 환경성평가,유한킴벌리㈜
,2019,송원산업 3개 제품에 대한 전과정평가,송원산업
,2019,"아모레퍼시픽 물, 탄소 배출량 데이터베이스 구축 컨설팅",㈜아모레퍼시픽
,2019,전과정평가를 통한 장수명 ESS 하이브리드 전지의 환경성평가,한국화학연구원
,2019,SK이노베이션 전과정평가 수행 체계 구축_xEV 배터리,SK이노베이션㈜
,2018,부생가스 전환공정의 환경성평가를 위한 LCI 데이터베이스 구축 연구,한국화학연구원
,2018,태양광 재활용에 대한 환경영향 평가,한국산업기술시험원
,2018,물질공정별 DB 관리방안 고도화 연구,한국환경산업기술원
,2018,삼덕특수아스콘 녹색기술인증 전과정평가 지원,삼덕특수아스콘㈜
,2018,전과정평가 기법을 활용한 온실가스 저감기술에 대한 환경성 평가,한국화학연구원
,2017,LG전자 환경성 평가 Tool 개발 과제,LG전자㈜
,2016,전과정평가 기법을 활용한 온실가스 저감기술에 대한 환경성평가,한국화학연구원
,2016,삼성 SDI의 전과정평가 시스템 구축 과제,삼성SDI㈜
"EPD 인증대응
*EPD : Environmental Product Declaration",연도,과제명,발주처
,2025,유니스포텍 인조잔디 제품 환경성적표지인증 ,(주)유니스포텍
,2025,덕신 EPC 제품에 대한 환경성적표지인증 ,(주)덕신이피씨
,2025,TCC 도금 공정에 대한 노르웨이 EPD 인증 컨설팅 ,(주)TCC스틸
,2025,신원하이테크 단열재 제품에 대한 환경성적표지인증 ,신원하이테크㈜
,2025,현대쉘베이스오일 윤활기유 및 Gasoil에 대한 ISCC 인증 대응 ,HD현대쉘베이스오일㈜
,2025,삼성물산 협력사 환경성적표지인증 ,삼성물산㈜
,2025,롯데마트 협력사 환경성적표지인증 ,롯데쇼핑㈜ 롯데마트사업부
,2025,LS ELECTRIC 몰드변압기 제품에 대한 노르웨이 EPD 인증 ,엘에스일렉트릭㈜
,2025,장성산업 제품에 대한 환경성적표지인증 ,(주)장성산업
,2025,진영기업 레미콘 6개 제품에 대한 환경성적표지인증 ,(주)진영기업
,2025,동천 단열재 PUR_I-D에 대한 환경성적표지인증 컨설팅 ,(주)동천
,2024,삼양식품 3개 제품 환경성적표지인증 컨설팅 ,삼양식품㈜
,2024,빙그레 4개 제품 환경성적표지인증 컨설팅 ,㈜빙그레
,2024,한국신에츠실리콘 제품 환경성적표지인증 컨설팅 ,한국신에츠실리콘㈜
,2024,금성인슈텍/금성화학 단열재 제품에 대한 환경성적표지인증 ,㈜금성인슈텍 / 금성화학㈜
,2024,평택유지 UCO 제품에 대한 환경성적표지인증 컨설팅 ,평택유지(주)
,2024,삼성물산㈜ 건설부문 협력사 환경성적표지/저탄소제품 인증 취득 컨설팅 ,삼성물산㈜
,2024,동천 단열재 제품에 대한 저탄소제품인증 컨설팅 ,(주)동천
,2024,일신산업 로이단열재 저탄소제품 인증 컨설팅 ,(주)일신산업
,2024,KC산업 PC제품에 대한 환경성적표지인증 컨설팅 ,(주)케이씨산업
,2024,정우화인 재활용 폴리올에 대한 환경성적표지인증 컨설팅 ,정우화인(주)
,2024,정우산업 단열재 제품에 대한 환경성적표지인증 컨설팅 ,주식회사 정우산업
,2024,세경산업 단열재 제품에 대한 환경성적표지인증 컨설팅 ,세경산업㈜
,2024,디앤케이켐텍 심재준불연 단열재 제품에 대한 환경성적표지인증 컨설팅 ,(주)디앤케이켐텍
,2024,롯데마트 PB제품에 대한 환경성적표지인증 컨설팅 ,롯데쇼핑㈜ 롯데마트사업부
,2024,이마트 PB제품에 대한 환경성적표지인증 컨설팅 ,㈜이마트
,2023,아모레퍼시픽 제품 카본트러스트 인증,㈜아모레퍼시픽
,2023,D&K켐텍 PF보드 제품 환경성적표지 인증,(주)디앤케이켐텍
,2023,녹수 바닥재 제품 환경성적표지/저탄소제품 인증,(주)녹수
,2023,다스코 우레탄 단열재 제품 환경성적표지/저탄소제품 인증,다스코㈜
,2023,롯데마트 PB제품(스낵류) 환경성적표지인증,롯데쇼핑㈜ 롯데마트사업부
,2023,정우산업 우레탄 단열재 환경성적표지/저탄소제품 인증,주식회사 정우산업
,2023,동천 우레탄 단열재 환경성적표지/저탄소제품 인증,(주)동천
,2023,디앤에프 데크플레이트 제품 환경성적표지 인증,디앤에프
,2023,다인폼 우레탄 단열재 제품 환경성적표지/저탄소제품 인증,(주)다인폼
,2023,스페이스링크 손건조기 제품 환경성적표지 인증,(주)스페이스링크
,2023,이마트-엔씽 스마트팜 농법에 대한 환경성적표지 인증,㈜이마트
,2023,이비아이 우레탄 단열재 환경성적표지/저탄소제품 인증,(주)이비아이
,2023,한국신에츠실리콘 실리콘제품 환경성적표지 인증,한국신에츠실리콘㈜
,2023,아모레퍼시픽 세럼 제품 카본트러스트 인증,㈜아모레퍼시픽
,2023,LS ELECTRIC㈜ LCA 체계구축 및 International EPD인증 취득,엘에스일렉트릭㈜
,2023,현대오일뱅크 바이오연료 ISCC 인증 대응,HD현대오일뱅크㈜
,2023,현대케미칼 바이오연료 ISCC 인증 대응,현대케미칼㈜
,2023,LCI DB 전면 개편 및 국제 플랫폼 등록 (2023년도),환경부
,2023,디앤케이켐텍 환경성적표지인증 컨설팅,(주)디앤케이켐텍
,2022,삼성전자 모니터 제품 UL EPD 인증 컨설팅,삼성전자㈜
,2022,삼성SDI 배터리 제품 대한 전과정평가 수행 및 카본트러스트 인증,삼성SDI㈜
,2022,에코프로 양극재 제품 전과정평가 수행 및 카본트러스트 인증 대응,㈜에코프로
,2022,아모레퍼시픽 제품에 대한 전과정평가 및 카본트러스트 인증 대응,㈜아모레퍼시픽
